,LEAID,LEA_NAME,SCH_NAME,STUDENTS_IN_POVERTY,G09,G10,G11,G12,G13,UG,AE,TOTAL_STUDENTS,POVERTY_RATE
203,5305430,Mukilteo School District,Mariner High School,1477.0,554.0,636.0,642.0,581.0,,,,2413.0,0.61210111893908
204,5305430,Mukilteo School District,Kamiak High School,502.0,589.0,531.0,524.0,509.0,,,,2153.0,0.23316302833255922
205,5305430,Mukilteo School District,ACES High School,99.0,0.0,6.0,45.0,90.0,,,,141.0,0.7021276595744681
206,5305460,Naches Valley School District,Naches Valley High School,181.0,97.0,98.0,95.0,86.0,,,,376.0,0.48138297872340424
207,5305490,Napavine School District,Napavine Jr Sr High School,164.0,74.0,65.0,55.0,55.0,,,,396.0,0.41414141414141414
208,5305520,Naselle-Grays River Valley School District,Naselle-Grays River Valley Jr Sr High Schools,94.0,28.0,26.0,20.0,23.0,,,,176.0,0.5340909090909091
209,5305610,Newport School District,Newport High School,194.0,92.0,80.0,94.0,83.0,,,,349.0,0.5558739255014327
210,5305640,Nine Mile Falls School District,Lakeside High School,110.0,118.0,112.0,132.0,122.0,,,,484.0,0.22727272727272727
211,5305670,Nooksack Valley School District,Nooksack Valley High School,249.0,129.0,123.0,104.0,119.0,,,,475.0,0.5242105263157895
212,5305700,North Beach School District No. 64,North Beach Senior High School,133.0,48.0,42.0,50.0,52.0,,,,192.0,0.6927083333333334
213,5305730,North Franklin School District,Connell High School,450.0,154.0,172.0,168.0,135.0,,,,629.0,0.7154213036565977
214,5305760,North Kitsap School District,North Kitsap High School,217.0,249.0,222.0,252.0,252.0,,,,975.0,0.22256410256410256
215,5305760,North Kitsap School District,Kingston High School,211.0,161.0,130.0,157.0,163.0,,,,611.0,0.3453355155482815
216,5305790,North Mason School District,North Mason Senior High School,319.0,136.0,170.0,167.0,174.0,,,,647.0,0.49304482225656876
217,5305850,North Thurston Public Schools,North Thurston High School,564.0,317.0,366.0,372.0,360.0,,,,1415.0,0.39858657243816253
218,5305850,North Thurston Public Schools,Timberline High School,534.0,357.0,351.0,339.0,390.0,,,,1437.0,0.37160751565762007
219,5305850,North Thurston Public Schools,River Ridge High School,581.0,408.0,359.0,362.0,354.0,,,,1483.0,0.39177343223196226
220,5305850,North Thurston Public Schools,Envision Career Academy,55.0,54.0,26.0,1.0,19.0,,,,100.0,0.55
221,5305910,Northshore School District,Bothell High School,264.0,440.0,458.0,439.0,389.0,,,,1726.0,0.15295480880648898
222,5305910,Northshore School District,Inglemoor HS,211.0,388.0,412.0,403.0,413.0,,,,1616.0,0.13056930693069307
223,5305910,Northshore School District,Woodinville HS,118.0,432.0,421.0,425.0,430.0,,,,1708.0,0.06908665105386416
