LEAID,LEA_NAME,SCH_NAME,GRADE_LEVEL,ENROLLMENT,DISTRICT_POVERTY_RATE
5301350,Cle Elum-Roslyn School District,Cle Elum Roslyn High School,10,56.0,0.336
5301350,Cle Elum-Roslyn School District,Cle Elum Roslyn High School,11,62.0,0.336
5301350,Cle Elum-Roslyn School District,Cle Elum Roslyn High School,12,51.0,0.336
5301350,Cle Elum-Roslyn School District,Cle Elum Roslyn High School,AE,,0.336
5301350,Cle Elum-Roslyn School District,Cle Elum Roslyn High School,UG,,0.336
5301410,Clover Park School District,Alfaretta House,09,,0.607
5301410,Clover Park School District,Alfaretta House,10,,0.607
5301410,Clover Park School District,Alfaretta House,11,0.0,0.607
5301410,Clover Park School District,Alfaretta House,12,22.0,0.607
5301410,Clover Park School District,Alfaretta House,AE,,0.607
5301410,Clover Park School District,Alfaretta House,UG,,0.607
5301410,Clover Park School District,CPSD Open Doors Program,09,0.0,0.607
5301410,Clover Park School District,CPSD Open Doors Program,10,1.0,0.607
